"","subject","prefix","browser","e","cu","me","lt"
"1","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_with-index-html",1,"chrome",49.373712,21.33333333,2292967.167,547
"2","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_css-www-realtor-com-index-html",1,"chrome",52.675452,29.11111111,2262622.667,674.5
"3","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withcss-badoo-com-index-html",1,"chrome",74.568528,30.83333333,2274139.167,904
"4","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_with-com-akismet-com-index-html",1,"chrome",34.2873,20.66666667,2188078.556,276.5
"5","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_css-www-w3schools-com-index-html",1,"chrome",77.870268,29.5,2277745.167,3036
"6","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_with-www-sciencedirect-com-index-html",1,"chrome",34.134912,20.16666667,2305322.167,501.5
"7","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_with-www-bing-com-index-html",1,"chrome",35.150832,19.83333333,2272109.667,174.5
"8","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_with-www-instagram-com-index-html",1,"chrome",68.06664,32.16666667,2153413.667,1091
"9","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withcss-www-biblegatewat-com-index-html",1,"chrome",34.846056,24.5,2281396.556,1145
"10","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_with-www-google-com-index-html",1,"chrome",39.722472,25.66666667,2124596.5,189
"11","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_with-vk-com-index-html",1,"chrome",50.338836,32,2180413,988
"12","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_with-www-rakuten-co-jp-index-html",1,"chrome",139.130244,34,2274989.167,2094.5
"13","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii-com-www-bakecaincontrii-com-index-html",1,"chrome",47.697444,20.66666667,2272576.833,385
"14","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withcss-mobico-nl-producten-iphone-index-html",1,"chrome",93.921804,32.66666667,2282742.833,1910.5
"15","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_with-com-www-jimdo-com-index-html",1,"chrome",37.436652,19.88888889,2112676.889,638
"16","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_css-www-usps-com-index-html",1,"chrome",54.402516,24,2278236.667,1815
"17","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_css-www-zillow-com-index-html",1,"chrome",91.026432,28.77777778,2275887.667,2250.5
"18","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_with-www-amazon-com-index-html",1,"chrome",89.858124,32.5,2294015,3091
"19","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_css-tinder-com-index-html",1,"chrome",40.941576,30.05555556,2263085.778,403
"20","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_with-www-ebay-com-index-html",1,"chrome",64.917288,31.16666667,2198238.833,568
"21","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_with-com-bitly-com-index-html",1,"chrome",78.124248,25.88888889,2139890.5,870
"22","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_with-com-bitnami-com-index-html",1,"chrome",53.183412,28,2127946.667,325.5
"23","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_with-com-www-tradingview-com-index-html",1,"chrome",94.632948,28.33333333,2195310.667,1551
"24","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_css-www-fedex-com-global-choose-location-html",1,"chrome",68.117436,25,2268740.556,2160.5
"25","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_with-www-oracle-com-index-html",1,"chrome",52.929432,26.55555556,2296756.667,538
"26","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_without-com-www-tradingview-com-index-html",0,"chrome",93.709104,27.77777778,2120744.778,255
"27","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withoutcss-www-biblegatewat-com-index-html",0,"chrome",33.893688,21.88888889,2134803.889,615.5
"28","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_withoutcss-tinder-com-index-html",0,"chrome",35.076624,27.16666667,2111625.389,673
"29","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_withoutcss-www-w3schools-com-index-html",0,"chrome",68.301696,29.5,2105384.667,387.5
"30","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_without-index-html",0,"chrome",42.071376,20.66666667,2143678.111,570
"31","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_without-www-ebay-com-index-html",0,"chrome",85.994304,33.33333333,2170983.333,396
"32","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withoutcss-badoo-com-index-html",0,"chrome",72.879144,29.33333333,2126045.5,138
"33","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_without-www-rakuten-co-jp-index-html",0,"chrome",128.168544,29,2146305.333,816
"34","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_without-com-www-jimdo-com-index-html",0,"chrome",37.853952,20.27777778,2043543.556,223
"35","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_without-www-amazon-com-index-html",0,"chrome",93.60624,30,2158539.167,87
"36","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withoutcss-mobico-nl-producten-iphone-index-html",0,"chrome",91.908984,31.66666667,2136768.333,577
"37","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_without-www-bing-com-index-html",0,"chrome",34.099416,19.22222222,2125454.944,928
"38","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii_withoutcss-www-bakecaincontrii-com-index-html",0,"chrome",45.671616,20.83333333,2129805.5,257
"39","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_without-www-google-com-index-html",0,"chrome",42.277104,26.33333333,2057671.667,1206
"40","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_withoutcss-www-fedex-com-global-choose-location-html",0,"chrome",63.312792,19.91111111,2153040.778,399.5
"41","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_withoutcss-www-realtor-com-index-html",0,"chrome",56.31804,26.88888889,2096616.778,1004
"42","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_without-com-akismet-com-index-html",0,"chrome",33.790824,21.66666667,2093149,1207
"43","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_without-www-instagram-com-index-html",0,"chrome",66.8616,31.66666667,2092076.333,2626
