date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:09	43/43	---M-Z	200	added ('OK')	text/plain	date:Sun,%2009%20Oct%202022%2021:11:08%20GMT	https://www.bakecaincontrii.com/robots.txt		(from )
23:11:10	95353/95353	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Oct%202022%2021:11:09%20GMT	https://www.bakecaincontrii.com/	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/index.html	(from )
23:11:12	122003/122003	---M-Z	200	added ('OK')	text/css	etag:%22633e99f1-1dc93%22	https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css	(from https://www.bakecaincontrii.com/)
23:11:12	297235/297235	---M-Z	200	added ('OK')	application/javascript	etag:%22633e99f1-48913%22	https://www.bakecaincontrii.com/static/js/bundle.c168b350b58039af3dc1.js	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/js/bundle.c168b350b58039af3dc1.js	(from https://www.bakecaincontrii.com/)
23:11:13	4697/4697	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Oct%202022%2021:11:12%20GMT	https://www.bakecaincontrii.com/cdn-cgi/l/email-protection	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/cdn-cgi/l/email-protection.html	(from https://www.bakecaincontrii.com/)
23:11:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633c5360-4d7%22	https://www.bakecaincontrii.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.bakecaincontrii.com/)
23:11:15	157717/157717	---M--	200	added ('OK')	image/png	etag:%22633e99f1-26815%22	https://www.bakecaincontrii.com/static/assets/img-alert.242921094e6c3500c413.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img-alert.242921094e6c3500c413.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:15	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Oct%202022%2021:11:14%20GMT	https://www.bakecaincontrii.com/country=IT;%20Domain=.bakecaincontrii.com;%20Path=/	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/country=IT;%20Domain=.bakecaincontrii.com;%20Path=/index.html	(from https://www.bakecaincontrii.com/)
23:11:15	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Oct%202022%2021:11:14%20GMT	https://www.bakecaincontrii.com/language=it-it;%20Domain=.bakecaincontrii.com;%20Path=/	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/language=it-it;%20Domain=.bakecaincontrii.com;%20Path=/index.html	(from https://www.bakecaincontrii.com/)
23:11:17	38354/38354	---M--	200	added ('OK')	image/jpeg	etag:%22633e99f1-95d2%22	https://www.bakecaincontrii.com/static/assets/Lightbox_Black_week.c2aff9c138d08188304e.jpg	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/Lightbox_Black_week.c2aff9c138d08188304e.jpg	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
